# layer center[mm] area[cm2] inner outer
FH9    1487  6.73  1499 1474
FH9    1513  6.97  1526 1499
FH9    1539  7.22  1553 1526
FH9    1566  7.48  1580 1553
FH9    1594  7.74  1608 1580
FH9    1622  8.02  1636 1608
FH9    1651  8.30  1665 1636
FH9    1680  8.60  1694 1665
FH9    1709  8.90  1724 1694
FH9    1739  9.22  1755 1724
FH9    1770  9.55  1785 1755
FH9    1801  9.88  1817 1785
FH9    1833 10.24  1849 1817
FH9    1865 10.60  1881 1849
FH9    1898 10.98  1915 1881
FH9    1931 11.37  1948 1915
FH9    1965 11.77  1983 1948
FH10   1411  6.06  1423 1398
FH10   1436  6.28  1448 1423
FH10   1461  6.50  1474 1448
FH10   1487  6.73  1499 1474
FH10   1513  6.97  1526 1499
FH10   1539  7.22  1553 1526
FH10   1566  7.48  1580 1553
FH10   1594  7.74  1608 1580
FH10   1622  8.02  1636 1608
FH10   1651  8.30  1665 1636
FH10   1680  8.60  1694 1665
FH10   1709  8.90  1724 1694
FH10   1739  9.22  1755 1724
FH10   1770  9.55  1785 1755
FH10   1801  9.88  1817 1785
FH10   1833 10.24  1849 1817
FH10   1865 10.60  1881 1849
FH10   1898 10.98  1915 1881
FH10   1931 11.37  1948 1915
FH10   1965 11.77  1983 1948
FH11   1411  6.06  1423 1398
FH11   1436  6.28  1448 1423
FH11   1461  6.50  1474 1448
FH11   1487  6.73  1499 1474
FH11   1513  6.97  1526 1499
FH11   1539  7.22  1553 1526
FH11   1566  7.48  1580 1553
FH11   1594  7.74  1608 1580
FH11   1622  8.02  1636 1608
FH11   1651  8.30  1665 1636
FH11   1680  8.60  1694 1665
FH11   1709  8.90  1724 1694
FH11   1739  9.22  1755 1724
FH11   1770  9.55  1785 1755
FH11   1801  9.88  1817 1785
FH11   1833 10.24  1849 1817
FH11   1865 10.60  1881 1849
FH11   1898 10.98  1915 1881
FH11   1931 11.37  1948 1915
FH11   1965 11.77  1983 1948
FH11   2000 12.19  2017 1983
FH12   1316  5.27  1327 1304
FH12   1339  5.46  1350 1327
FH12   1362  5.65  1374 1350
FH12   1386  5.86  1398 1374
FH12   1411  6.06  1423 1398
FH12   1436  6.28  1448 1423
FH12   1461  6.50  1474 1448
FH12   1487  6.73  1499 1474
FH12   1513  6.97  1526 1499
FH12   1539  7.22  1553 1526
FH12   1566  7.48  1580 1553
FH12   1594  7.74  1608 1580
FH12   1622  8.02  1636 1608
FH12   1651  8.30  1665 1636
FH12   1680  8.60  1694 1665
FH12   1709  8.90  1724 1694
FH12   1739  9.22  1755 1724
FH12   1770  9.55  1785 1755
FH12   1801  9.88  1817 1785
FH12   1833 10.24  1849 1817
FH12   1865 10.60  1881 1849
FH12   1898 10.98  1915 1881
FH12   1931 11.37  1948 1915
FH12   1965 11.77  1983 1948
FH12   2000 12.19  2017 1983
FH12   2035 12.62  2053 2017
BH1    1238  7.29  1251 1224
BH1    1265  7.62  1279 1251
BH1    1293  7.96  1307 1279
BH1    1321  8.31  1336 1307
BH1    1350  8.68  1365 1336
BH1    1380  9.07  1395 1365
BH1    1411  9.47  1426 1395
BH1    1442  9.90  1457 1426
BH1    1474 10.34  1490 1457
BH1    1506 10.80  1523 1490
BH1    1539 11.28  1556 1523
BH1    1573 11.78  1590 1556
BH1    1608 12.31  1625 1590
BH1    1643 12.86  1661 1625
BH1    1680 13.43  1698 1661
BH1    1717 14.03  1735 1698
BH1    1755 14.66  1774 1735
BH1    1793 15.31  1813 1774
BH1    1833 15.99  1853 1813
BH1    1873 16.71  1894 1853
BH1    1915 17.45  1935 1894
BH1    1957 18.23  1978 1935
BH1    2000 19.04  2022 1978
BH1    2044 19.89  2066 2022
BH1    2089 20.78  2112 2066
BH2    1159  6.40  1172 1147
BH2    1185  6.68  1198 1172
BH2    1211  6.98  1224 1198
BH2    1238  7.29  1251 1224
BH2    1265  7.62  1279 1251
BH2    1293  7.96  1307 1279
BH2    1321  8.31  1336 1307
BH2    1350  8.68  1365 1336
BH2    1380  9.07  1395 1365
BH2    1411  9.47  1426 1395
BH2    1442  9.90  1457 1426
BH2    1474 10.34  1490 1457
BH2    1506 10.80  1523 1490
BH2    1539 11.28  1556 1523
BH2    1573 11.78  1590 1556
BH2    1608 12.31  1625 1590
BH2    1643 12.86  1661 1625
BH2    1680 13.43  1698 1661
BH2    1717 14.03  1735 1698
BH2    1755 14.66  1774 1735
BH2    1793 15.31  1813 1774
BH2    1833 15.99  1853 1813
BH2    1873 16.71  1894 1853
BH2    1915 17.45  1935 1894
BH2    1957 18.23  1978 1935
BH2    2000 19.04  2022 1978
BH2    2044 19.89  2066 2022
BH2    2089 20.78  2112 2066
BH2    2135 21.71  2159 2112
BH2    2182 22.68  2206 2159
BH2    2231 23.69  2255 2206
BH3    1062  5.37  1074 1051
BH3    1086  5.61  1098 1074
BH3    1110  5.86  1122 1098
BH3    1134  6.12  1147 1122
BH3    1159  6.40  1172 1147
BH3    1185  6.68  1198 1172
BH3    1211  6.98  1224 1198
BH3    1238  7.29  1251 1224
BH3    1265  7.62  1279 1251
BH3    1293  7.96  1307 1279
BH3    1321  8.31  1336 1307
BH3    1350  8.68  1365 1336
BH3    1380  9.07  1395 1365
BH3    1411  9.47  1426 1395
BH3    1442  9.90  1457 1426
BH3    1474 10.34  1490 1457
BH3    1506 10.80  1523 1490
BH3    1539 11.28  1556 1523
BH3    1573 11.78  1590 1556
BH3    1608 12.31  1625 1590
BH3    1643 12.86  1661 1625
BH3    1680 13.43  1698 1661
BH3    1717 14.03  1735 1698
BH3    1755 14.66  1774 1735
BH3    1793 15.31  1813 1774
BH3    1833 15.99  1853 1813
BH3    1873 16.71  1894 1853
BH3    1915 17.45  1935 1894
BH3    1957 18.23  1978 1935
BH3    2000 19.04  2022 1978
BH3    2044 19.89  2066 2022
BH3    2089 20.78  2112 2066
BH3    2135 21.71  2159 2112
BH3    2182 22.68  2206 2159
BH3    2231 23.69  2255 2206
BH3    2280 24.74  2305 2255
BH3    2330 25.85  2355 2305
BH4     973  4.51   984  963
BH4     995  4.71  1006  984
BH4    1017  4.92  1028 1006
BH4    1039  5.14  1051 1028
BH4    1062  5.37  1074 1051
BH4    1086  5.61  1098 1074
BH4    1110  5.86  1122 1098
BH4    1134  6.12  1147 1122
BH4    1159  6.40  1172 1147
BH4    1185  6.68  1198 1172
BH4    1211  6.98  1224 1198
BH4    1238  7.29  1251 1224
BH4    1265  7.62  1279 1251
BH4    1293  7.96  1307 1279
BH4    1321  8.31  1336 1307
BH4    1350  8.68  1365 1336
BH4    1380  9.07  1395 1365
BH4    1411  9.47  1426 1395
BH4    1442  9.90  1457 1426
BH4    1474 10.34  1490 1457
BH4    1506 10.80  1523 1490
BH4    1539 11.28  1556 1523
BH4    1573 11.78  1590 1556
BH4    1608 12.31  1625 1590
BH4    1643 12.86  1661 1625
BH4    1680 13.43  1698 1661
BH4    1717 14.03  1735 1698
BH4    1755 14.66  1774 1735
BH4    1793 15.31  1813 1774
BH4    1833 15.99  1853 1813
BH4    1873 16.71  1894 1853
BH4    1915 17.45  1935 1894
BH4    1957 18.23  1978 1935
BH4    2000 19.04  2022 1978
BH4    2044 19.89  2066 2022
BH4    2089 20.78  2112 2066
BH4    2135 21.71  2159 2112
BH4    2182 22.68  2206 2159
BH4    2231 23.69  2255 2206
BH4    2280 24.74  2305 2255
BH4    2330 25.85  2355 2305
BH4    2381 27.00  2407 2355
BH4    2434 28.21  2460 2407
BH5     973  4.51   984  963
BH5     995  4.71  1006  984
BH5    1017  4.92  1028 1006
BH5    1039  5.14  1051 1028
BH5    1062  5.37  1074 1051
BH5    1086  5.61  1098 1074
BH5    1110  5.86  1122 1098
BH5    1134  6.12  1147 1122
BH5    1159  6.40  1172 1147
BH5    1185  6.68  1198 1172
BH5    1211  6.98  1224 1198
BH5    1238  7.29  1251 1224
BH5    1265  7.62  1279 1251
BH5    1293  7.96  1307 1279
BH5    1321  8.31  1336 1307
BH5    1350  8.68  1365 1336
BH5    1380  9.07  1395 1365
BH5    1411  9.47  1426 1395
BH5    1442  9.90  1457 1426
BH5    1474 10.34  1490 1457
BH5    1506 10.80  1523 1490
BH5    1539 11.28  1556 1523
BH5    1573 11.78  1590 1556
BH5    1608 12.31  1625 1590
BH5    1643 12.86  1661 1625
BH5    1680 13.43  1698 1661
BH5    1717 14.03  1735 1698
BH5    1755 14.66  1774 1735
BH5    1793 15.31  1813 1774
BH5    1833 15.99  1853 1813
BH5    1873 16.71  1894 1853
BH5    1915 17.45  1935 1894
BH5    1957 18.23  1978 1935
BH5    2000 19.04  2022 1978
BH5    2044 19.89  2066 2022
BH5    2089 20.78  2112 2066
BH5    2135 21.71  2159 2112
BH5    2182 22.68  2206 2159
BH5    2231 23.69  2255 2206
BH5    2280 24.74  2305 2255
