evt        et        eta        eta(p)     eta(f)    tanphi(p)     tanphi(f)
0   3.000000   1.600000   1.600000   1.592810   -1.424752   -1.424752
100   3.000000   1.600000   1.600000   1.589136   -0.803269   -0.803269
200   3.000000   1.600000   1.600000   1.606244   -1.063222   -1.063222
300   3.000000   1.600000   1.600000   1.607794   -0.354502   -0.354502
400   3.000000   1.600000   1.599588   1.603490   1.252880   1.251917
500   3.000000   1.600000   1.600000   1.617513   -1.867324   -1.867324
600   3.000000   1.600000   1.600000   1.621011   -2.976290   -2.976290
700   3.000000   1.600000   1.600000   1.600876   -3.624435   -3.624435
800   3.000000   1.600000   1.600000   1.611918   -1.853483   -1.853483
900   3.000000   1.600000   1.600000   1.589341   0.361513   0.361513
0   5.000000   1.600000   1.600000   1.604351   -0.999907   -0.999907
100   5.000000   1.600000   1.600000   1.606466   -0.711448   -0.711448
200   5.000000   1.600000   1.600000   1.584277   -9.933814   -9.933814
300   5.000000   1.600000   1.600000   1.593247   12.970082   12.970082
400   5.000000   1.600000   1.600000   1.605309   -1.414933   -1.414933
500   5.000000   1.600000   1.600000   1.604666   16.245204   16.245204
600   5.000000   1.600000   1.600000   1.594926   -1.084347   -1.084347
700   5.000000   1.600000   1.600000   1.604713   0.439963   0.439963
800   5.000000   1.600000   1.600000   1.592067   -10.948668   -10.948668
900   5.000000   1.600000   1.600000   1.601626   -0.631921   -0.631921
0   7.000000   1.600000   1.600000   1.598485   -2.910014   -2.910014
100   7.000000   1.600000   1.600000   1.603652   0.795282   0.795282
200   7.000000   1.600000   1.600000   1.598520   -1.503224   -1.503224
300   7.000000   1.600000   1.600000   1.614377   -0.606071   -0.606071
400   7.000000   1.600000   1.600000   1.590143   -1.632309   -1.632309
500   7.000000   1.600000   1.600000   1.595532   6.935710   6.935710
600   7.000000   1.600000   1.600000   1.580553   1.068913   1.068913
700   7.000000   1.600000   1.599976   1.601600   1.483170   1.483377
800   7.000000   1.600000   1.600000   1.600107   -0.454706   -0.454706
900   7.000000   1.600000   1.600000   1.594332   -39.499588   -39.499588
0   10.000000   1.600000   1.600000   1.577708   -2.703261   -2.703261
100   10.000000   1.600000   1.600000   1.578051   -0.145589   -0.145589
200   10.000000   1.600000   1.600000   1.606863   3.097038   3.097038
300   10.000000   1.600000   1.600000   1.602813   1.306558   1.306558
400   10.000000   1.600000   1.600000   1.585940   -0.331099   -0.331099
500   10.000000   1.600000   1.600000   1.589658   0.528346   0.528346
600   10.000000   1.600000   1.600000   1.626776   -1.765098   -1.765098
700   10.000000   1.600000   1.600000   1.604362   -142.303999   -142.303999
800   10.000000   1.600000   1.600000   1.612211   -30.544909   -30.544909
900   10.000000   1.600000   1.600000   1.624093   -1.900260   -1.900260
