evtnum     x         truex         y          truey         z          truez           tanphi         truetanphi     eta        trueeta
0   -363.584376   -344.085166   711.886082   676.469880   3219.008832   3070.000000   -2.058129   -1.965995   2.154503   2.105583
100   -436.372219   -417.438919   -644.097745   -614.042835   3204.146329   3070.000000   1.404259   1.470976   2.142447   2.126872
200   -699.021426   -675.847600   328.222919   311.476573   3189.955893   3070.000000   -0.374435   -0.460868   2.072902   2.124688
300   -562.227022   -531.751008   559.791868   527.994078   3249.589255   3070.000000   -0.907899   -0.992935   2.070240   2.117936
400   799.301464   763.657163   -22.750689   -22.929028   3216.020702   3070.000000   -0.050128   -0.030025   2.069836   2.099146
500   702.379446   674.434734   -415.576511   -401.645348   3193.860825   3070.000000   -0.664267   -0.595529   2.095781   2.072890
600   -341.844799   -325.639307   723.064045   693.022671   3193.650709   3070.000000   -2.358396   -2.128191   2.147833   2.096970
700   486.508032   467.333670   622.418014   602.761382   3192.539786   3070.000000   1.386804   1.289788   2.030201   2.100791
800   -79.847898   -78.720860   -784.032809   -742.926410   3227.966923   3070.000000   5.334650   9.437478   2.163676   2.120887
900   -315.293328   -297.418496   726.512274   688.724676   3226.239997   3070.000000   -2.431625   -2.315675   2.126340   2.116846
